0,1,2,3,clue
AMERICANO,CAPPUCCINO,ESPRESSO,LATTE,COFFEE DRINKS
ALMOND,CASHEW,PECAN,WALNUT,TREE NUTS
EMERALD,FOREST,KELLY,OLIVE,SHADES OF GREEN
BEAN,CLEAN,FOX,PEANUT,MR. ___
CAW,CHIRP,CLUCK,TWEET,BIRD SOUNDS
BROWN,PINK,TURQUOISE,VIOLET,COLORS
LURE,REEL,ROD,TACKLE,FISHING GEAR
HOOK,JONES,SILVER,SPARROW,FICTIONAL PIRATES
BUNK,CANOPY,MURPHY,TRUNDLE,BEDS
JONAS,MARX,WARNER,WRIGHT,FAMOUS BROTHERS
ACCORD,CIVIC,PASSPORT,PILOT,HONDAS
CRASH,LINK,MARIO,SONIC,VIDEO GAME CHARACTERS
FRONTIER,SPIRIT,UNITED,VIRGIN,AIRLINES
BETA,CHI,DELTA,IOTA,GREEK LETTERS
GNAT,GNAW,GNOCCHI,GNOME,"SILENT ""G"""
GNU,KNEW,NEW,NU,HOMOPHONES
FLOCK,PACK,POD,SCHOOL,ANIMAL GROUP NAMES
ENVY,GREED,LUST,PRIDE,DEADLY SINS
LORIS,SLOTH,SNAIL,TORTOISE,SLOW ANIMALS
COT,SEC,SIN,TAN,TRIG FUNCTIONS
CARDAMOM,CLOVE,CORIANDER,CUMIN,"SPICES BEGINNING WITH ""C"""
BOO,HONEY,SUGAR,SWEETIE,TERMS OF ENDEARMENT
AIRPLANE,ANGEL,BIRD,PEGASUS,THINGS WITH WINGS
BABY,GINGER,POSH,SCARY,SPICE GIRLS
DATE,KIWI,LEMON,ORANGE,FRUIT
CHAD,GEORGIA,JORDAN,TOGO,COUNTRIES
CRANE,JAY,SWALLOW,TURKEY,BIRDS
FISH,GOAT,SCALES,TWINS,ZODIAC SYMBOLS
CRICKET,FENCING,POLO,SQUASH,SPORTS
CAMI,HALTER,TANK,TEE,TOPS
BEET,CARROT,CORN,ONION,VEGETABLES
ANT,BEETLE,MANTIS,TERMITE,INSECTS
BACKGAMMON,CHECKERS,CHESS,GO,BOARD GAMES
FULL,KING,QUEEN,TWIN,MATTRESS SIZES
CHERRY,FIRE TRUCK,RUBY,STOP SIGN,THINGS THAT ARE RED
CRYPTOGRAPHY,FLORIDA,LOCKSMITH,PIANO,THINGS WITH KEYS
ANKLE,KNEE,SHIN,THIGH,LEG PARTS
CALF,CUB,JOEY,KID,BABY ANIMALS
CAN,HEAD,JOHN,THRONE,SLANG FOR TOILET
CRAY,JELLY,SILVER,STAR,___ FISH THAT AREN'T FISH
BOARDWALK,CHANCE,GO,JAIL,MONOPOLY SQUARES
BABY,MIDNIGHT,POWDER,ROYAL,SHADES OF BLUE
COMMON,FUTURE,ICE CUBE,Q-TIP,RAPPERS
SEA,SIN,SISTER,WONDER,MEMBERS OF A SEPTET
HULU,NETFLIX,PEACOCK,PRIME,STREAMING SERVICES
KETCHUP,MAYO,RELISH,TARTAR,CONDIMENTS
BLUE,DOWN,GLUM,LOW,SYNONYMS FOR SAD
GREEN,MUSTARD,PLUM,SCARLET,CLUE CHARACTERS
ADIDAS,NIKE,PUMA,REEBOK,SNEAKER BRANDS
CABARET,CAROUSEL,CATS,CHICAGO,"MUSICALS BEGINNING WITH ""C"""
DUST,MOP,SWEEP,VACUUM,CLEANING VERBS
BAT,IRON,SPIDER,SUPER,___ MAN SUPERHEROES
CHEEK,EYE,MOUTH,NOSE,FACIAL FEATURES
CHOW,GOBBLE,SCARF,WOLF,SYNONYMS FOR EAT
LAB,PEKE,PIT,POM,"DOG BREEDS, INFORMALLY"
AMIGO,KING,STOOGE,TENOR,MEMBERS OF A TRIO
BOOT,LOAFER,PUMP,SNEAKER,FOOTWEAR
FOOT,LEAGUE,MILE,YARD,UNITS OF LENGTH
ESSENCE,PEOPLE,TIME,US,MAGAZINES
ARE,QUEUE,SEA,WHY,LETTER HOMOPHONES
HAIL,RAIN,SLEET,SNOW,WET WEATHER
BUCKS,HEAT,JAZZ,NETS,NBA TEAMS
OPTION,RETURN,SHIFT,TAB,KEYBOARD KEYS
KAYAK,LEVEL,MOM,RACE CAR,PALINDROMES
